Country,Currency,Conversion rate
AL,FRG,1237.7
AL,ALK,1237.7
AL,ITL,1547.125
AL,DER,309.425
AL,ALL,123.77
AD,FRG,655.957
AD,FRF,6.55957
AD,ESP,166.386
AD,ADP,166.386
AD,EUR,1
AT,ATG,103202.25
AT,ATK,206404.5
AT,ATO,20.64045
AT,ATS,13.7603
AT,EUR,1
BE,BEF,40.3399
BE,DER,3.227192
BE,EUR,1
BA,ATG,78233200000
BA,ATK,1.56E+11
BA,YUK,1.56E+11
BA,YUS,39116600000
BA,HRC,39116600000
BA,YUF,1955830000
BA,YUD,19558300
BA,YUN,1955.83
BA,BAD,195.583
BA,BAM,1.95583
BG,BGJ,1955800
BG,BGK,19558
BG,BGL,1955.8
BG,BGN,1.9558
HR,ATG,2.98E+11
HR,ATK,5.95E+11
HR,YUK,5.95E+11
HR,YUS,1.49E+11
HR,HRC,1.49E+11
HR,YUF,7439000000
HR,YUD,74390000
HR,YUN,7439
HR,HRD,7439
HR,HRK,7.439
CY,GBP,0.585274
CY,CYP,0.585274
CY,EUR,1
CZ,ATG,61.475
CZ,ATK,122.95
CZ,CSO,122.95
CZ,CSM,122.95
CZ,DER,12.295
CZ,CSO,122.95
CZ,CSC,122.95
CZ,CSK,24.59
CZ,CZK,24.59
DK,DKR,3.7271
DK,DKK,7.4542
DK,DER,3.7271
EE,RUP,2503456
EE,EEM,1251728
EE,EEN,12517.28
EE,SUG,15646.6
EE,SUG,15646.6
EE,SUN,1564.66
EE,SUR,156.466
EE,EEK,15.6466
EE,EUR,1
FI,FIN,594.573
FI,FIM,5.94573
FI,EUR,1
FR,FRG,655.957
FR,DER,32.79785
FR,FRF,6.55957
FR,EUR,1
DE,XDNT,0.652943333
DE,XDSG,1.142650833
DE,HAMS,1.632358333
DE,DEP,1.95883
DE,DEN,1.95883
DE,DER,1.95883
DE,DEM,1.95883
DE,DDM,1.95883
DE,EUR,1
EL,GRS,340750
EL,GRN,340750
EL,GRD,340.75
EL,EUR,1
EL,GKD,340750
EL,ITL,1936.27
EL,DER,6815
HU,ATG,2195312.5
HU,ATK,4390625
HU,HUK,4390625
HU,HUP,351.25
HU,HUF,351.25
IS,DKR,3864.75
IS,DKK,7729.5
IS,ISJ,15459
IS,ISK,154.59
IE,GBP,0.787564
IE,IEP,0.787564
IE,EUR,1
IM,GBP,0.8897
IT,ITL,1936.27
IT,EUR,1
XK,SRD,3.05E+16
XK,ATK,1.22E+17
XK,YUK,1.22E+17
XK,YUS,3.05E+16
XK,ITL,1.16E+16
XK,BGJ,4.88E+16
XK,SRW,3.05E+16
XK,YUF,1.53E+15
XK,YUD,1.53E+13
XK,YUN,1525544639
XK,YUR,152554463.9
XK,YUO,152554463.9
XK,YUG,152554463.9
XK,YUM,11.73495876
XK,DEM,1.95883
XK,EUR,1
LV,RUP,702804
LV,LVB,702804
LV,LVA,14056.08
LV,SUG,14056.08
LV,SUG,14056.08
LV,SUN,1405.608
LV,SUR,140.5608
LV,LVR,140.5608
LV,LVL,0.702804
LV,EUR,1
LI,ATG,1070.5
LI,ATK,2141
LI,LIK,2141
LI,CHF,1.0705
LT,RUP,13427555.56
LT,LTA,6713777.778
LT,LTB,38364.44444
LT,SUG,34528
LT,SUG,34528
LT,SUN,3452.8
LT,SUR,345.28
LT,LTT,345.28
LT,LTL,3.4528
LT,EUR,1
LU,LUF,40.3399
LU,DER,4.03399
LU,EUR,1
MT,GBP,0.4293
MT,MTP,0.4293
MT,MTL,0.4293
MT,EUR,1
MC,FRG,655.957
MC,FRF,6.55957
MC,EUR,1
ME,MEK,1.22E+17
ME,MEP,1.22E+17
ME,ATK,1.22E+17
ME,YUK,1.22E+17
ME,YUS,3.05E+16
ME,ITL,1.16E+16
ME,DER,3.05E+16
ME,YUF,1.53E+15
ME,YUD,1.53E+13
ME,YUN,1525544639
ME,YUR,152554463.9
ME,YUO,152554463.9
ME,YUG,152554463.9
ME,YUM,11.73495876
ME,DEM,1.95883
ME,EUR,1
NL,NLG,2.20371
NL,DER,2.93828
NL,EUR,1
MK,SRD,1.23E+11
MK,ATK,4.93E+11
MK,YUK,4.93E+11
MK,YUS,1.23E+11
MK,ITL,46873076000
MK,BGJ,1.97E+11
MK,SRW,1.23E+11
MK,YUF,6167510000
MK,YUD,61675100
MK,YUN,6167.51
MK,MKN,6167.51
MK,MKD,61.6751
NO,SEM,10.7228
NO,SEK,10.7228
NO,NOK,10.7228
NO,DER,6.43368
PL,RUP,2962000
PL,DEP,1481000
PL,ATG,1057857.143
PL,ATK,2115714.286
PL,PLM,1481000
PL,PLO,1481000
PL,PLK,1481000
PL,DER,740500
PL,SUG,1481000
PL,LTB,740500
PL,PLL,1481000
PL,PLZ,44430
PL,PLN,4.443
PT,PTR,200482
PT,PTE,200.482
PT,EUR,1
RO,ROS,19353200000
RO,ROR,967660
RO,ROL,48383
RO,RON,4.8383
SM,ITL,1936.27
SM,EUR,1
RS,SRD,3.06E+17
RS,ATK,1.22E+18
RS,YUK,1.22E+18
RS,YUS,3.06E+17
RS,ITL,1.16E+17
RS,ROS,9.17E+17
RS,HUP,3.06E+16
RS,SRW,3.06E+17
RS,YUF,1.53E+16
RS,YUD,1.53E+14
RS,YUN,15285101000
RS,YUR,1528510100
RS,YUO,1528510100
RS,YUG,1528510100
RS,YUM,117.5777
RS,CSD,117.5777
RS,RSD,117.5777
SK,ATG,75.315
SK,ATK,150.63
SK,CSO,150.63
SK,SKO,150.63
SK,DER,15.063
SK,HUP,21.51857143
SK,CSO,150.63
SK,CSC,150.63
SK,CSK,30.126
SK,SKK,30.126
SK,EUR,1
SI,ATG,9585600000
SI,ATK,19171200000
SI,YUK,19171200000
SI,YUS,4792800000
SI,ITL,1821264000
SI,DER,239640000
SI,YUF,239640000
SI,YUD,2396400
SI,YUN,239.64
SI,SIT,239.64
SI,EUR,1
ES,ESP,166.386
ES,EUR,1
SE,SEM,10.4848
SE,SEK,10.4848
CH,CHF,1.0705
UK,GBP,0.8897
