ID,Country code,Year,Country name,Start date,End date,Type,Flood source,Regions affected (v2010),Regions affected (v2021),Area inundated,Fatalities,Persons affected,Losses (nominal value),Losses (original currency),"Losses (mln EUR, 2011)",Cause,Notes,References,Explanation
23,AT,2009,Austria,16/07/2009,19/07/2009,Flash,Raababach,AT221,,,0,,,,,Extreme rainfall,,EM-DAT; EEA (2015); Brakenridge (2022),Lack of specific loss data
74,CY,1985,Cyprus,29/05/1985,29/05/1985,Flash,,CY000,,,1,,,,,Extreme rainfall,,Munich Re (2017),"Heavy rainfall and hailstorm, but fatality was caused by whirlwind (http://www.ijmet.org/wp-content/uploads/2016/04/102.pdf)"
157,FR,1952,France,22/04/1952,24/04/1952,River,Var,FR823,,,11,,,,,Heavy rainfall up to 307 mm in 3 days,,AERMC (2011); Meteo France (2022),Event was a landslide
207,FR,1993,France,05/10/1993,07/10/1993,River,Rhone,FR823,,,3,,"830,000,000",FRF,163,Heavy rainfall throughout September and October,,EEA (2015); Meteo France (2022),Merged with 208
236,FR,2000,France,02/12/2000,02/12/2000,Flash,,FR103,,,0,600,,,,Extreme rainfall,,EM-DAT,Urban flood
425,HU,2016,Hungary,21/06/2016,21/06/2016,Flash,,HU323,,,0,"2,282",,,,Extreme rainfall,,EM-DAT,Event was a hailstorm (https://go.ifrc.org/emergencies/231#reports)
426,IS,1988,Iceland,29/08/1988,29/08/1988,River,,IS002,,,0,280,,,,Snowmelt,,EM-DAT,Event was a mudslide (https://reliefweb.int/report/iceland/iceland-heavy-rainsmudslides-aug-1988-undro-information-report-1)
443,IE,2013,Ireland,25/07/2013,26/07/2013,Flash,,IE011;IE013;IE021;IE022,,,0,,"90,000,000",EUR,86,Extreme rainfall,,Munich Re (2017),Urban flood
665,IT,1953,Italy,25/10/1953,29/10/1953,Flash,Malina; Degano,ITF61;ITH41;ITH42,,,4,,,,,Extreme rainfall,,CNR (2023),Merged with 665
675,IT,1955,Italy,07/03/1955,07/03/1955,Coastal,Ionian Sea,ITG17,,,0,150,,,,Storm surge,,CNR (2023),200 or less persons affected
917,IT,1995,Italy,24/08/1995,24/08/1995,Flash,Pescara; Salinello,ITF12;ITF13,,,0,100,,,,Extreme rainfall,,CNR (2023),200 or less persons affected (only ITF12 was actually affected)
946,IT,2000,Italy,14/11/2000,14/11/2000,Flash,Parma,ITH52,,,0,500,,,,Extreme rainfall,,CNR (2023),Merged with 945
953,IT,2002,Italy,24/11/2002,24/11/2002,Flash,,ITC33,,,1,,,,,Extreme rainfall,,CNR (2023),Merged with 952
964,IT,2005,Italy,22/10/2005,22/10/2005,Flash,Minissale,ITG17,,,1,,,,,Extreme rainfall,,Regione Siciliana (2021),Merged with 965
966,IT,2006,Italy,30/04/2006,30/04/2006,Flash,,ITF33,,,4,,,,,Extreme rainfall,,Wikipedia (2023b),Event was a landslide
980,IT,2011,Italy,03/03/2011,03/03/2011,Flash,,ITI35,,,5,,,,,Extreme rainfall,,Wikipedia (2023b),Merged with 979
1025,NO,2001,Norway,01/12/2001,01/12/2001,Flash,,NO042,,,0,"1,500",,,,Extreme rainfall,,EM-DAT,Urban flood
